train_start,test_start,oos_score,oos_profit_pct,oos_equity_ret,trades_count,params
0,1071,-10.0,-1.545449672707196,-0.1537834967963012,737,"{'sl': np.float64(1.5), 'tp': np.float64(4.196288186878351), 'conf': np.float64(0.55), 'trail_on': 1.0, 'trail_act': np.float64(2.498845380023721), 'trail_off': 0.25442455253638946, 'vol_exit': 7.733731658605887, 'max_hold': 52, 'pullback': np.float64(0.02402409261076809), 'fill_wait': 8, 'abort': 0.7426909849531633}"
534,1605,-10.0,-0.18141030643610356,-0.03886556018277687,200,"{'sl': np.float64(1.5), 'tp': np.float64(3.69646484773402), 'conf': np.float64(0.75), 'trail_on': 1.0, 'trail_act': np.float64(2.5), 'trail_off': 0.3333924656227765, 'vol_exit': 7.851497402166839, 'max_hold': 32, 'pullback': np.float64(0.007294863206328749), 'fill_wait': 3, 'abort': 0.686675859201169}"
1068,2139,-10.0,-0.47181052248689137,-0.053303129335844024,352,"{'sl': 2.404188179822105, 'tp': 5.000520279838968, 'conf': 0.6696173172903392, 'trail_on': 1.0, 'trail_act': 1.9576952662656408, 'trail_off': 0.2281703252400656, 'vol_exit': 9.256981081766607, 'max_hold': 69.0, 'pullback': 0.17524668757939538, 'fill_wait': 7, 'abort': 0.7450352352151538}"
1602,2673,-10.0,-0.9298722855210133,-0.04672474341756261,422,"{'sl': 1.9507470595556515, 'tp': 4.87094900677371, 'conf': 0.6168721098461005, 'trail_on': 1.0, 'trail_act': 1.322425899954673, 'trail_off': 0.3251371763908878, 'vol_exit': 7.651854369560341, 'max_hold': 45.0, 'pullback': 0.19175533949221046, 'fill_wait': 7, 'abort': 0.722851197301899}"
2136,3207,-10.0,-1.7600661839948955,-0.11001436461791847,473,"{'sl': 2.436010382659179, 'tp': 5.57151596962115, 'conf': 0.624629656634521, 'trail_on': 1.0, 'trail_act': 1.8125689769101792, 'trail_off': 0.4991764649926627, 'vol_exit': 9.54118192259555, 'max_hold': 70.0, 'pullback': 0.1776274142920301, 'fill_wait': 7, 'abort': 0.7863479366852919}"
2670,3741,-10.0,-0.4566841822667706,-0.04450881202880019,362,"{'sl': 2.2051335251522053, 'tp': 4.876486843329693, 'conf': 0.6794595507298611, 'trail_on': 1.0, 'trail_act': 2.3338202175346776, 'trail_off': 0.2012352115773724, 'vol_exit': 6.471102216858497, 'max_hold': 69.0, 'pullback': 0.12241672819132435, 'fill_wait': 2, 'abort': 0.6647503249766745}"
3204,4275,-10.0,-1.1658540194627265,-0.13004498956508226,674,"{'sl': 1.7174674045933878, 'tp': 5.844200196555848, 'conf': 0.5996932656214797, 'trail_on': 1.0, 'trail_act': 1.4057620396583732, 'trail_off': 0.46212944697497965, 'vol_exit': 7.222846224501231, 'max_hold': 26.0, 'pullback': 0.07952177063079564, 'fill_wait': 6, 'abort': 0.796675990546942}"
3738,4809,-10.0,-0.3844400059721166,-0.025996496750182674,339,"{'sl': 2.075637421309696, 'tp': 4.056421724085986, 'conf': 0.669981411211714, 'trail_on': 1.0, 'trail_act': 2.4560958858952784, 'trail_off': 0.4928870454890258, 'vol_exit': 7.213219099916263, 'max_hold': 31.0, 'pullback': 0.12477694867418095, 'fill_wait': 5, 'abort': 0.7549756944032446}"
4272,5343,-10.0,-0.3968655647699766,-0.02199530922280224,314,"{'sl': 2.412173561985742, 'tp': 4.688056778552339, 'conf': 0.687315422280543, 'trail_on': 1.0, 'trail_act': 2.0958838128532102, 'trail_off': 0.47012277037042194, 'vol_exit': 9.644677706426679, 'max_hold': 35.0, 'pullback': 0.013119251968035185, 'fill_wait': 3, 'abort': 0.7386848260447424}"
4806,5877,-10.0,-1.4017209296366158,-0.09782530869402906,566,"{'sl': 2.2835497957809876, 'tp': 4.6937464548264725, 'conf': 0.5524114551530872, 'trail_on': 1.0, 'trail_act': 2.4836197300635177, 'trail_off': 0.3000135782931383, 'vol_exit': 8.61765120410404, 'max_hold': 52.0, 'pullback': 0.1530927823725226, 'fill_wait': 2, 'abort': 0.7162208482976153}"
5340,6411,-10.0,-0.9801163214989617,-0.10649945515938697,714,"{'sl': 1.702074862269586, 'tp': 4.723672546633701, 'conf': 0.6022519298646556, 'trail_on': 1.0, 'trail_act': 1.559581182849875, 'trail_off': 0.43951938442129185, 'vol_exit': 6.928642636245376, 'max_hold': 31.0, 'pullback': 0.11203507080577764, 'fill_wait': 5, 'abort': 0.6861592491513736}"
5874,6945,-10.0,-0.8769296754875189,-0.0935525351140849,551,"{'sl': 2.1481553475433706, 'tp': 4.02876167881129, 'conf': 0.6153437332998735, 'trail_on': 1.0, 'trail_act': 1.9138255624494829, 'trail_off': 0.40286975563103905, 'vol_exit': 7.431655763208269, 'max_hold': 31.0, 'pullback': 0.09068679821138788, 'fill_wait': 4, 'abort': 0.782742572821615}"
6408,7479,-10.0,-1.0662372153742778,-0.10528170575277351,516,"{'sl': 2.0918173621956635, 'tp': 5.82653030209579, 'conf': 0.6326280969226036, 'trail_on': 1.0, 'trail_act': 2.1989087785658774, 'trail_off': 0.3700854452083546, 'vol_exit': 9.450540146420611, 'max_hold': 39.0, 'pullback': 0.054549394431161136, 'fill_wait': 8, 'abort': 0.7781084369489171}"
6942,8013,-10.0,-0.07125207386949534,-0.011985144868383202,225,"{'sl': 2.483578697076316, 'tp': 3.6427527122367187, 'conf': 0.726618920178701, 'trail_on': 1.0, 'trail_act': 2.241465500610928, 'trail_off': 0.4286695485815222, 'vol_exit': 8.308826166053402, 'max_hold': 28.0, 'pullback': 0.16608592927814003, 'fill_wait': 8, 'abort': 0.7778909606763178}"
7476,8547,-10.0,-1.1942171614145638,-0.11100525653819071,559,"{'sl': 1.7834194611067422, 'tp': 5.872935879360254, 'conf': 0.5841250084764715, 'trail_on': 1.0, 'trail_act': 2.493987795166314, 'trail_off': 0.46229556848338604, 'vol_exit': 6.313821151446084, 'max_hold': 26.0, 'pullback': 0.19348682905451997, 'fill_wait': 8, 'abort': 0.7732451935509514}"
8010,9081,-10.0,-1.057986957361832,-0.08834960685871263,478,"{'sl': 1.9948789443982555, 'tp': 3.506122701644468, 'conf': 0.6409569695911872, 'trail_on': 1.0, 'trail_act': 1.563768106938655, 'trail_off': 0.2946276506151618, 'vol_exit': 9.615131315299204, 'max_hold': 49.0, 'pullback': 0.18889607862226973, 'fill_wait': 8, 'abort': 0.8410900511610135}"
8544,9615,-10.0,-1.801922570062398,-0.08129011629148897,342,"{'sl': 1.9696717155793082, 'tp': 4.74054872603547, 'conf': 0.6514401300578271, 'trail_on': 1.0, 'trail_act': 2.350161282333027, 'trail_off': 0.23038107206278338, 'vol_exit': 6.383577259542204, 'max_hold': 42.0, 'pullback': 0.11972568044794846, 'fill_wait': 5, 'abort': 0.6624826675472766}"
9078,10149,-10.0,-1.1787269020451292,-0.06830091778848768,247,"{'sl': 2.0831728934820912, 'tp': 3.7355072296208705, 'conf': 0.7113890399198048, 'trail_on': 1.0, 'trail_act': 1.39972781451048, 'trail_off': 0.3523377722889517, 'vol_exit': 6.21552975594458, 'max_hold': 48.0, 'pullback': 0.05365254976913021, 'fill_wait': 8, 'abort': 0.8023125023003604}"
9612,10683,-10.0,-0.5578692993511096,-0.03913990045150317,193,"{'sl': 2.041057241974195, 'tp': 3.6150617279712227, 'conf': 0.7241588770362768, 'trail_on': 1.0, 'trail_act': 1.234898297893431, 'trail_off': 0.3203993566122724, 'vol_exit': 8.7550410523428, 'max_hold': 45.0, 'pullback': 0.07418289438771962, 'fill_wait': 2, 'abort': 0.8147532454406549}"
10146,11217,-10.0,-0.9654231559929833,-0.06220516361643946,180,"{'sl': 1.9671766287285029, 'tp': 3.6569439279274842, 'conf': 0.7275324437908189, 'trail_on': 1.0, 'trail_act': 2.1520817990936814, 'trail_off': 0.23821820883979944, 'vol_exit': 8.724693987482, 'max_hold': 43.0, 'pullback': 0.1671549516773293, 'fill_wait': 6, 'abort': 0.8126838710978632}"
10680,11751,-10.0,-0.7859073121595429,-0.058221090347895355,379,"{'sl': 1.7368184747545539, 'tp': 3.795552629734876, 'conf': 0.6130195894989152, 'trail_on': 1.0, 'trail_act': 2.4055179665346804, 'trail_off': 0.44574150715688987, 'vol_exit': 7.6511430477364595, 'max_hold': 60.0, 'pullback': 0.1899119736120805, 'fill_wait': 4, 'abort': 0.7458984207085031}"
11214,12285,-10.0,-0.34721140803957407,-0.05191300446948066,193,"{'sl': 1.9345385058459093, 'tp': 6.006381466867856, 'conf': 0.745932983193494, 'trail_on': 1.0, 'trail_act': 1.4890955689271592, 'trail_off': 0.2394580970425476, 'vol_exit': 6.411563345134548, 'max_hold': 71.0, 'pullback': 0.16750116580723817, 'fill_wait': 6, 'abort': 0.8495953853222284}"
11748,12819,-10.0,-0.33831267463266096,-0.04639434688282695,222,"{'sl': 1.7006534910006046, 'tp': 4.21573177823261, 'conf': 0.7370449655199401, 'trail_on': 1.0, 'trail_act': 1.4265162603625734, 'trail_off': 0.358539553254959, 'vol_exit': 6.069184401730471, 'max_hold': 71.0, 'pullback': 0.11662780061039763, 'fill_wait': 2, 'abort': 0.7473087593180026}"
12282,13353,-10.0,-0.49071507938453796,-0.06989948499314935,256,"{'sl': 1.6478428351099828, 'tp': 5.1396831612609395, 'conf': 0.7359665387479682, 'trail_on': 1.0, 'trail_act': 1.8216800042097228, 'trail_off': 0.4498471120573744, 'vol_exit': 7.652774986677962, 'max_hold': 52.0, 'pullback': 0.08322121318638427, 'fill_wait': 4, 'abort': 0.7125913307727967}"
12816,13887,0.04874640667935263,0.0859839659233549,-0.0029115175762496337,257,"{'sl': 2.484548281314154, 'tp': 4.697187370271968, 'conf': 0.7055884759672384, 'trail_on': 1.0, 'trail_act': 2.1307521601688575, 'trail_off': 0.3723340382476329, 'vol_exit': 8.441683084740042, 'max_hold': 38.0, 'pullback': 0.05277581473672204, 'fill_wait': 8, 'abort': 0.7746468805623059}"
13350,14421,-10.0,-0.5626241969866922,-0.042746915784101724,245,"{'sl': 2.2244183527840136, 'tp': 5.094331182955502, 'conf': 0.6933582248103537, 'trail_on': 1.0, 'trail_act': 2.3857196920297037, 'trail_off': 0.4483814582330986, 'vol_exit': 7.064120296967193, 'max_hold': 39.0, 'pullback': 0.011803758442962154, 'fill_wait': 3, 'abort': 0.8122188942040077}"
13884,14955,-10.0,-0.4183539225460019,-0.0653988601486386,392,"{'sl': np.float64(2.5), 'tp': np.float64(3.5), 'conf': np.float64(0.6196963135410953), 'trail_on': 1.0, 'trail_act': np.float64(2.2007615109111573), 'trail_off': 0.204337419502524, 'vol_exit': 6.968271108660584, 'max_hold': 36.0, 'pullback': np.float64(0.1843419584005003), 'fill_wait': 4, 'abort': 0.8185702454665906}"
14418,15489,-10.0,-0.09941923796239771,-0.0309542643945232,313,"{'sl': 2.138757192112821, 'tp': 3.8023527892451803, 'conf': 0.6789411831757948, 'trail_on': 1.0, 'trail_act': 1.511440372865672, 'trail_off': 0.2651341384463489, 'vol_exit': 8.708376983860411, 'max_hold': 27.0, 'pullback': 0.0597328485077602, 'fill_wait': 4, 'abort': 0.6997344534248594}"
14952,16023,-10.0,-0.24932831670809913,-0.038721956547080105,221,"{'sl': 2.4515077990892142, 'tp': np.float64(5.246761972955862), 'conf': np.float64(0.7205658474692866), 'trail_on': 1.0, 'trail_act': np.float64(2.1903655354914484), 'trail_off': 0.4448456405577017, 'vol_exit': 6.563441690751917, 'max_hold': 60, 'pullback': np.float64(0.1457602183215409), 'fill_wait': 8, 'abort': 0.7309148410614396}"
